title,price,address,city,state,zipCode,propertyType,description,ownerId
"Plaza Comercial Santa Fe",12500000,"Av. Teófilo Borunda #4500, Col. Santa Fe",Chihuahua,Chihuahua,31125,commercial,"Centro comercial de 1,200m² con 8 locales comerciales, estacionamiento para 40 vehículos, sistema de seguridad CCTV y aire acondicionado central.",
"Nave Industrial Complejo Norte",8750000,"Blvd. Juan Pablo II #3200, Complejo Industrial Norte",Chihuahua,Chihuahua,31109,industrial,"Nave industrial de 2,500m² con andén de carga, oficinas administrativas de 200m², bodega climatizada y subestación eléctrica propia.",
"Terreno Campestre Las Misiones",3200000,"Calle de los Pinos #128, Fracc. Las Misiones",Chihuahua,Chihuahua,31214,land,"Terreno de 800m² en fraccionamiento privado con vigilancia 24/7. Todos los servicios disponibles. Ideal para construcción residencial de lujo.",
"Oficina Ejecutiva Torre Sienna",4500000,"Periférico de la Juventud #6801, Col. Saucito",Chihuahua,Chihuahua,31110,office,"Oficina de 180m² en piso 12 con vista panorámica. Incluye 3 privados, sala de juntas, recepción y 4 cajones de estacionamiento.",
"Residencia Bosques del Valle",6800000,"Calle Hacienda del Valle #456, Fracc. Bosques del Valle",Chihuahua,Chihuahua,31217,residential,"Casa de 350m² construidos en terreno de 500m². 4 recámaras, sala de TV, estudio, cocina con isla de granito, jardín con asador y alberca.",
"Local Comercial Zona Centro",1850000,"Calle Libertad #234, Col. Centro",Chihuahua,Chihuahua,31000,commercial,"Local de 95m² en zona peatonal de alto tráfico. Cuenta con bodega, medio baño y cortina metálica. Ideal para tienda o restaurante.",
"Bodega en Parque Industrial",5600000,"Av. de la Industria #789, Parque Industrial Las Américas",Juárez,Chihuahua,32575,industrial,"Bodega de 1,800m² con altura de 8 metros, 2 andenes de descarga, oficinas de 150m², patio de maniobras y vigilancia permanente.",
"Departamento Torres Premier",2100000,"Blvd. Tomás Fernández #1520, Col. Campestre",Juárez,Chihuahua,32460,residential,"Departamento de lujo en piso 8. 2 recámaras con baño completo, cocina integral, sala-comedor con vista a la ciudad. Amenidades incluidas.",
"Terreno Uso Mixto Delicias",950000,"Av. Quinta Oriente #890, Col. Centro",Delicias,Chihuahua,33000,land,"Terreno de 450m² con uso de suelo mixto (comercial/residencial). Ubicación privilegiada a 2 cuadras de la plaza principal.",
"Centro Médico Cuauhtémoc",7200000,"Av. Allende #567, Col. Centro",Cuauhtémoc,Chihuahua,31500,commercial,"Edificio de 600m² acondicionado como centro médico con 8 consultorios, sala de espera, recepción, laboratorio y estacionamiento para 15 vehículos.",
